corpus_id;sentence_position;position;value
1;24;12;kàlt
1;24;13;lon
1;24;14;wëre
1;24;15;.
1;25;1;Ìn
1;25;1;e
1;25;2;Sàlàdschìssel
1;25;3;de
1;25;4;Rahm
1;25;5;ùn
1;25;6;de
1;25;7;Vanill-Zùcker
1;25;8;schìtte
1;25;9;.
1;26;1;Zuere
1;26;1;e
1;26;2;Chantilly
1;26;3;schlaawe
1;26;4;ùn
1;26;5;mìtem
1;26;6;kàlte
1;26;7;Sabayon
1;26;8;mìsche
1;26;9;.
1;27;1;d'
1;27;1;Rhàbàrwer-Stìckle
1;27;2;koche
1;27;3;.
1;28;1;Se
1;28;1;ìn
1;28;2;kleini
1;28;3;Pfannele
1;28;4;odder
1;28;5;ìn
1;28;6;kleini
1;28;7;Plättle
1;28;8;leje
1;28;9;,
1;28;10;dànn
1;28;11;d'
1;28;12;Erdbeere
1;28;13;drùff
1;28;14;leje
1;28;15;.
1;29;1;Mìtem
1;29;1;Sabayon
1;29;2;ìwwerzìehje
1;29;3;ùn
1;29;4;mìt
1;29;5;de
1;29;6;g'hobelte
1;29;7;Màndle
1;29;8;bstraie
1;29;9;.
2;1;1;S
2;1;2;elsassischa
2;1;3;Museum
2;1;4;vu
2;1;5;Stroßburri
2;1;6;ìsch
2;1;7;a
2;1;8;Volkstum-Museum
2;1;9;.
2;2;1;S
2;2;1;Lawa
2;2;2;ìm
2;2;3;Elsàss
2;2;4;ìn
2;2;5;da
2;2;6;XVIII.
2;2;7;un
2;2;8;XIX.
2;2;9;Johrhundert
2;2;10;wìrd
2;2;11;do
2;2;12;zeigt
2;2;13;,
2;2;14;dur
2;2;15;Tràchta
2;2;16;,
2;2;17;Meewel
2;2;18;,
2;2;19;Täpfa
2;2;20;,
2;2;21;Spìelzig
2;2;22;,
2;2;23;Bìlder
2;2;24;,
2;2;25;Stuwa
2;2;26;un
2;2;27;Àtelier
2;2;28;wo
2;2;29;nohgmàcht
2;2;30;worra
2;2;31;sìn
2;2;32;.
2;3;1;S
2;3;1;elsassischa
2;3;2;Museum
2;3;3;hàt
2;3;4;aui
2;3;5;,
2;3;6;zitter
2;3;7;'m
2;3;8;Ààfàng
2;3;9;,
2;3;10;a
2;3;11;großa
2;3;12;Sàmmlung
2;3;13;wo-n-ìhm
2;3;14;d
2;3;15;Société
2;3;16;d'
2;3;17;Histoire
2;3;18;des
2;3;19;Israélites
2;3;20;d'
2;3;21;Alsace
2;3;22;et
2;3;23;de
2;3;24;Lorraine
2;3;25;(
2;3;26;Gschìchtverein
2;3;27;vu
2;3;28;da
2;3;29;Israelita
2;3;30;vum
2;3;31;Elsàss
2;3;32;un
2;3;33;vu
2;3;34;Lothrìnga
2;3;35;)
2;3;36;gaa
2;3;37;hàt
2;3;38;.
2;4;1;So
2;4;1;kààt
2;4;2;ma
2;4;3;s
2;4;4;kültürella
2;4;5;Erbgüet
2;4;6;vu
2;4;7;da
2;4;8;elsassischa
2;4;9;Juda
2;4;10;entdecka
2;4;11;.
2;5;1;Dàs
2;5;1;Museum
2;5;2;befìndet
2;5;3;sìch
2;5;4;nawa
2;5;5;dr
2;5;6;Ìll
2;5;7;,
2;5;8;ìn
2;5;9;'ma
2;5;10;Gebäi
2;5;11;wo
2;5;12;zu
2;5;13;da
2;5;14;monuments
2;5;15;historiques
2;5;16;gheert
2;5;17;,
2;5;18;àn
2;5;19;dr
2;5;20;Àdrass
2;5;21;:
2;5;22;23-25
2;5;23;Place
2;5;24;du
2;5;25;Corbeau
2;5;26;.
2;6;1;S
2;6;1;Museum
2;6;2;ìsch
2;6;3;àm
2;6;4;3.
2;6;5;Novamber
2;6;6;1902
2;6;7;grìnda
2;6;8;worra
2;6;9;,
2;6;10;bim
2;6;11;Notàr
2;6;12;Alfred
2;6;13;Ritleng
2;6;14;z'
2;6;15;Stroßburri
2;6;16;.
2;7;1;Bi
2;7;1;da
2;7;2;Grìnder
2;7;3;sìn
2;7;4;dr
2;7;5;Pierre
2;7;6;Bucher
2;7;7;,
2;7;8;dr
2;7;9;Ferdinand
2;7;10;un
2;7;11;dr
2;7;12;Léon
2;7;13;Dollinger
2;7;14;,
2;7;15;dr
2;7;16;Anselme
2;7;17;Laugel
2;7;18;,
2;7;19;dr
2;7;20;Gustave
2;7;21;Stoskopf
2;7;22;,
2;7;23;dr
2;7;24;Fritz
2;7;25;Kiener
2;7;26;,
2;7;27;dr
2;7;28;Archeologue
2;7;29;Robert
2;7;30;Forrer
2;7;31;un
2;7;32;dr
2;7;33;Alfred
2;7;34;Kassel
2;7;35;gsìì
2;7;36;.
2;8;1;Dr
2;8;1;Kìnschtler
2;8;2;Charles
2;8;3;Spindler
2;8;4;-
2;8;5;wo
2;8;6;bim
2;8;7;Notàr
2;8;8;nìt
2;8;9;derbi
2;8;10;gsìì
2;8;11;ìsch
2;8;12;-
2;8;13;hàt
2;8;14;aui
2;8;15;mìtgmàcht
2;8;16;:
2;8;17;ar
2;8;18;hàt
2;8;19;d
2;8;20;Wàsserfàrb-Gmälta
2;8;21;vum
2;8;22;Büech
2;8;23;Costumes
2;8;24;et
2;8;25;coutumes
2;8;26;d’Alsace
2;8;27;gaa
2;8;28;,
2;8;29;un
2;8;30;hàt
2;8;31;derfer
2;8;32;a
2;8;33;Gschaftsààteil
2;8;34;vum
2;8;35;Museum
2;8;36;bikumma
2;8;37;.
2;9;1;Dia
2;9;1;Bìlder
2;9;2;sìn
2;9;3;d
2;9;4;erschta
2;9;5;Giater
2;9;6;vum
2;9;7;züekìnftiga
2;9;8;Museum
2;9;9;gsìì
2;9;10;.
2;10;1;Dr
2;10;1;Goerges
2;10;2;Ritleng
2;10;3;ìsch
2;10;4;Ehrapräsidant
2;10;5;vum
2;10;6;Museum
2;10;7;worra
2;10;8;.
2;11;1;S
2;11;1;Museum
2;11;2;hàt
2;11;3;àm
2;11;4;11.
2;11;5;Mai
2;11;6;1907
2;11;7;ufgmàcht
2;11;8;.
2;12;1;Wahrend'm
2;12;1;erschta
2;12;2;Waltkriag
2;12;3;hàt
2;12;4;d
2;12;5;ditscha
2;12;6;Regiarung
2;12;7;s
2;12;8;Museum
2;12;9;züegmàcht
2;12;10;,
2;12;11;wial
2;12;12;'s
2;12;13;züe
2;12;14;vìel
2;12;15;fer
2;12;16;s
2;12;17;Frànkrìch
2;12;18;igstellt
2;12;19;gsìì
2;12;20;ìsch
2;12;21;.
2;13;1;Ànna
2;13;1;1917
