corpus_name;sentence_position;position;value
recettes;18;5;ìnere
recettes;18;6;Kàssroll
recettes;18;7;mìt
recettes;18;8;dìckem
recettes;18;9;Bodde
recettes;18;10;(
recettes;18;11;odder
recettes;18;12;Wàsserbàd
recettes;18;13;)
recettes;18;14;d'
recettes;18;15;Eigelbe
recettes;18;16;ùn
recettes;18;17;de
recettes;18;18;Puderzùcker
recettes;18;19;schlaawe
recettes;18;20;.
recettes;19;1;Schlaawe
recettes;19;2;bis
recettes;19;3;dàss
recettes;19;4;es
recettes;19;5;wiss
recettes;19;6;wùrd
recettes;19;7;.
recettes;20;1;Zwei
recettes;20;2;Sùppeleffel
recettes;20;3;Wisswin
recettes;20;4;dezügenn
recettes;20;5;ùn
recettes;20;6;wittersch
recettes;20;7;zuem
recettes;20;8;e
recettes;20;9;Schüm
recettes;20;10;schlaawe
recettes;20;11;.
recettes;21;1;Licht
recettes;21;2;ànkoche
recettes;21;3;lon
recettes;21;4;(
recettes;21;5;odder
recettes;21;6;ìm
recettes;21;7;Wàsserbàd
recettes;21;8;)
recettes;21;9;ùn
recettes;21;10;debi
recettes;21;11;wittersch
recettes;21;12;schlaawe
recettes;21;13;.
recettes;22;1;Nooch
recettes;22;2;ùn
recettes;22;3;nooch
recettes;22;4;de
recettes;22;5;Rescht
recettes;22;6;Wisswin
recettes;22;7;dezügenn
recettes;22;8;.
recettes;23;1;D'
recettes;23;2;Mìschùng
recettes;23;3;muess
recettes;23;4;schümisch
recettes;23;5;wëre
recettes;23;6;ùn
recettes;23;7;sich
recettes;23;8;verdopple
recettes;23;9;,
recettes;23;10;sie
recettes;23;11;muess
recettes;23;12;àwwer
recettes;23;13;nìt
recettes;23;14;àbkoche
recettes;23;15;.
recettes;24;1;Vùm
recettes;24;2;Fiir
recettes;24;3;ewegnamme
recettes;24;4;soboel
recettes;24;5;dàss
recettes;24;6;de
recettes;24;7;Sabayon
recettes;24;8;dìck
recettes;24;9;genue
recettes;24;10;wùrre
recettes;24;11;ìsch
recettes;24;12;,
recettes;24;13;kàlt
recettes;24;14;lon
recettes;24;15;wëre
recettes;24;16;.
recettes;25;1;Ìn
recettes;25;2;e
recettes;25;3;Sàlàdschìssel
recettes;25;4;de
recettes;25;5;Rahm
recettes;25;6;ùn
recettes;25;7;de
recettes;25;8;Vanill-Zùcker
recettes;25;9;schìtte
recettes;25;10;.
recettes;26;1;Zuere
recettes;26;2;e
recettes;26;3;Chantilly
recettes;26;4;schlaawe
recettes;26;5;ùn
recettes;26;6;mìtem
recettes;26;7;kàlte
recettes;26;8;Sabayon
recettes;26;9;mìsche
recettes;26;10;.
recettes;27;1;d'
recettes;27;2;Rhàbàrwer-Stìckle
recettes;27;3;koche
recettes;27;4;.
recettes;28;1;Se
recettes;28;2;ìn
recettes;28;3;kleini
recettes;28;4;Pfannele
recettes;28;5;odder
recettes;28;6;ìn
recettes;28;7;kleini
recettes;28;8;Plättle
recettes;28;9;leje
recettes;28;10;,
recettes;28;11;dànn
recettes;28;12;d'
recettes;28;13;Erdbeere
recettes;28;14;drùff
recettes;28;15;leje
recettes;28;16;.
recettes;29;1;Mìtem
recettes;29;2;Sabayon
recettes;29;3;ìwwerzìehje
recettes;29;4;ùn
recettes;29;5;mìt
recettes;29;6;de
recettes;29;7;g'hobelte
recettes;29;8;Màndle
recettes;29;9;bstraie
recettes;29;10;.
wikipedia1;1;1;S
wikipedia1;1;2;elsassischa
wikipedia1;1;3;Museum
wikipedia1;1;4;vu
wikipedia1;1;5;Stroßburri
wikipedia1;1;6;ìsch
wikipedia1;1;7;a
wikipedia1;1;8;Volkstum-Museum
wikipedia1;1;9;.
wikipedia1;2;1;S
wikipedia1;2;2;Lawa
wikipedia1;2;3;ìm
wikipedia1;2;4;Elsàss
wikipedia1;2;5;ìn
wikipedia1;2;6;da
wikipedia1;2;7;XVIII.
wikipedia1;2;8;un
wikipedia1;2;9;XIX.
wikipedia1;2;10;Johrhundert
wikipedia1;2;11;wìrd
wikipedia1;2;12;do
wikipedia1;2;13;zeigt
wikipedia1;2;14;,
wikipedia1;2;15;dur
wikipedia1;2;16;Tràchta
wikipedia1;2;17;,
wikipedia1;2;18;Meewel
wikipedia1;2;19;,
wikipedia1;2;20;Täpfa
wikipedia1;2;21;,
wikipedia1;2;22;Spìelzig
wikipedia1;2;23;,
wikipedia1;2;24;Bìlder
wikipedia1;2;25;,
wikipedia1;2;26;Stuwa
wikipedia1;2;27;un
wikipedia1;2;28;Àtelier
wikipedia1;2;29;wo
wikipedia1;2;30;nohgmàcht
wikipedia1;2;31;worra
wikipedia1;2;32;sìn
wikipedia1;2;33;.
wikipedia1;3;1;S
wikipedia1;3;2;elsassischa
wikipedia1;3;3;Museum
wikipedia1;3;4;hàt
wikipedia1;3;5;aui
wikipedia1;3;6;,
wikipedia1;3;7;zitter
wikipedia1;3;8;'m
wikipedia1;3;9;Ààfàng
wikipedia1;3;10;,
wikipedia1;3;11;a
wikipedia1;3;12;großa
wikipedia1;3;13;Sàmmlung
wikipedia1;3;14;wo-n-ìhm
wikipedia1;3;15;d
wikipedia1;3;16;Société
wikipedia1;3;17;d'
wikipedia1;3;18;Histoire
wikipedia1;3;19;des
wikipedia1;3;20;Israélites
wikipedia1;3;21;d'
wikipedia1;3;22;Alsace
wikipedia1;3;23;et
wikipedia1;3;24;de
wikipedia1;3;25;Lorraine
wikipedia1;3;26;(
wikipedia1;3;27;Gschìchtverein
wikipedia1;3;28;vu
wikipedia1;3;29;da
wikipedia1;3;30;Israelita
wikipedia1;3;31;vum
wikipedia1;3;32;Elsàss
wikipedia1;3;33;un
wikipedia1;3;34;vu
wikipedia1;3;35;Lothrìnga
wikipedia1;3;36;)
wikipedia1;3;37;gaa
wikipedia1;3;38;hàt
wikipedia1;3;39;.
wikipedia1;4;1;So
wikipedia1;4;2;kààt
wikipedia1;4;3;ma
wikipedia1;4;4;s
wikipedia1;4;5;kültürella
wikipedia1;4;6;Erbgüet
wikipedia1;4;7;vu
wikipedia1;4;8;da
wikipedia1;4;9;elsassischa
wikipedia1;4;10;Juda
wikipedia1;4;11;entdecka
wikipedia1;4;12;.
wikipedia1;5;1;Dàs
wikipedia1;5;2;Museum
wikipedia1;5;3;befìndet
wikipedia1;5;4;sìch
wikipedia1;5;5;nawa
wikipedia1;5;6;dr
wikipedia1;5;7;Ìll
wikipedia1;5;8;,
wikipedia1;5;9;ìn
wikipedia1;5;10;'ma
wikipedia1;5;11;Gebäi
wikipedia1;5;12;wo
wikipedia1;5;13;zu
wikipedia1;5;14;da
wikipedia1;5;15;monuments
wikipedia1;5;16;historiques
wikipedia1;5;17;gheert
wikipedia1;5;18;,
wikipedia1;5;19;àn
wikipedia1;5;20;dr
wikipedia1;5;21;Àdrass
wikipedia1;5;22;:
wikipedia1;5;23;23-25
wikipedia1;5;24;Place
wikipedia1;5;25;du
wikipedia1;5;26;Corbeau
wikipedia1;5;27;.
wikipedia1;6;1;S
wikipedia1;6;2;Museum
wikipedia1;6;3;ìsch
wikipedia1;6;4;àm
wikipedia1;6;5;3.
wikipedia1;6;6;Novamber
wikipedia1;6;7;1902
wikipedia1;6;8;grìnda
wikipedia1;6;9;worra
wikipedia1;6;10;,
wikipedia1;6;11;bim
wikipedia1;6;12;Notàr
wikipedia1;6;13;Alfred
wikipedia1;6;14;Ritleng
wikipedia1;6;15;z'
wikipedia1;6;16;Stroßburri
wikipedia1;6;17;.
